precision,induction_acc,induction_loss,ioi_logit_diff,ioi_logit_diff_std,ioi_acc
FP32,0.9864285714285714,0.24697836861014366,3.184467269897461,1.4421184805980833,0.992
INT8,0.9865306122448979,0.23942595720291138,3.3039973888397216,1.458284113528556,0.994
INT7,0.9861224489795918,0.2742903381586075,3.068813049316406,1.3471831503891993,0.994
INT6,0.986734693877551,0.2056875340640545,3.362070037841797,1.5254359828938096,0.996
INT5,0.9767346938775511,0.3382509723305702,2.3523489513397218,1.4597168292334937,0.964
INT4,0.763061224489796,2.2269684076309204,1.9615632781982422,1.1437859138335915,0.954
